index,Id Amostra,Ano,Parecer Amostra,Data Coleta,Análise,Valor,Unidade Medida,Parecer Análise
0,257388,2022,Não Conforme,2022-12-01 08:00:00.000,pH,6.51,,Conforme
1,257388,2022,Não Conforme,2022-12-01 08:00:00.000,Cloro Residual Livre,1.9,mg/L,Conforme
2,257388,2022,Não Conforme,2022-12-01 08:00:00.000,Bactérias Heterotróficas,952,UFC/mL,Não Conforme
3,257388,2022,Não Conforme,2022-12-01 08:00:00.000,Coliformes Totais,Ausência,A-P/100mL,Conforme
4,257388,2022,Não Conforme,2022-12-01 08:00:00.000,Escherichia coli,Ausência,A-P/100mL,Conforme
5,257388,2022,Não Conforme,2022-12-01 08:00:00.000,Cor Aparente,<3,uH,Conforme
6,257388,2022,Não Conforme,2022-12-01 08:00:00.000,Turbidez,0.26,uT,Conforme
7,257389,2022,Conforme,2022-12-02 08:10:00.000,pH,7.44,,Conforme
8,257389,2022,Conforme,2022-12-02 08:10:00.000,Cloro Residual Livre,2.1,mg/L,Conforme
9,257389,2022,Conforme,2022-12-02 08:10:00.000,Bactérias Heterotróficas,< 1,UFC/mL,Conforme
10,257389,2022,Conforme,2022-12-02 08:10:00.000,Coliformes Totais,Ausência,A-P/100mL,Conforme
11,257389,2022,Conforme,2022-12-02 08:10:00.000,Escherichia coli,Ausência,A-P/100mL,Conforme
12,257389,2022,Conforme,2022-12-02 08:10:00.000,Turbidez,0.24,uT,Conforme
13,257389,2022,Conforme,2022-12-02 08:10:00.000,Cor Aparente,<3,uH,Conforme
14,262145,2022,Atenção,2022-12-28 08:21:00.000,Fluoreto,0.25,mg/L,Atenção
15,262145,2022,Atenção,2022-12-28 08:21:00.000,pH,6.08,,Conforme
16,262145,2022,Atenção,2022-12-28 08:21:00.000,Fluoreto,0.064,mg/L,Atenção
17,262145,2022,Atenção,2022-12-28 08:21:00.000,Alcalinidade Total,48,mg/L,
18,276601,2023,Não Conforme,2023-02-23 14:00:00.000,DQO,45,mg/L,
19,276601,2023,Não Conforme,2023-02-23 14:00:00.000,DBO,11,mg/L,Conforme
20,276601,2023,Não Conforme,2023-02-23 14:00:00.000,Sólidos Suspensos Totais,"12,0",mg/L,Conforme
21,276601,2023,Não Conforme,2023-02-23 14:00:00.000,Surfactantes,0.94,mg/L,Conforme
22,276601,2023,Não Conforme,2023-02-23 14:00:00.000,Sólidos Sedimentáveis,0.3,mL/L,Conforme
23,276601,2023,Não Conforme,2023-02-23 14:00:00.000,Fósforo Total,2.32,mg/L,
24,276601,2023,Não Conforme,2023-02-23 14:00:00.000,pH,7.1,N.A,Conforme
25,276601,2023,Não Conforme,2023-02-23 14:00:00.000,Nitrogênio Amoniacal,22.6,mg/L,Não Conforme
26,276601,2023,Não Conforme,2023-02-23 14:00:00.000,Óleos e Graxas Total,<5,mg/L,Conforme
27,276601,2023,Não Conforme,2023-02-23 14:00:00.000,Óleos Vegetais e Gorduras Animais,<5,mg/L,Conforme
28,276601,2023,Não Conforme,2023-02-23 14:00:00.000,Óleos Minerais,n.d,mg/L,Inconclusivo
29,276603,2023,Inconclusivo,2023-02-23 15:00:00.000,DBO,6,mg/L,Conforme
30,276603,2023,Inconclusivo,2023-02-23 15:00:00.000,DQO,26,mg/L,
31,276603,2023,Inconclusivo,2023-02-23 15:00:00.000,Sólidos Suspensos Totais,"< 10,0",mg/L,Conforme
32,276603,2023,Inconclusivo,2023-02-23 15:00:00.000,Surfactantes,"< 0,50",mg/L,Conforme
33,276603,2023,Inconclusivo,2023-02-23 15:00:00.000,Sólidos Sedimentáveis,"<0,1",mL/L,Conforme
34,276603,2023,Inconclusivo,2023-02-23 15:00:00.000,Fósforo Total,2.02,mg/L,
35,276603,2023,Inconclusivo,2023-02-23 15:00:00.000,pH,7.03,N.A,Conforme
36,276603,2023,Inconclusivo,2023-02-23 15:00:00.000,Nitrogênio Amoniacal,1.6,mg/L,Conforme
37,276603,2023,Inconclusivo,2023-02-23 15:00:00.000,Óleos e Graxas Total,<5,mg/L,Conforme
38,276603,2023,Inconclusivo,2023-02-23 15:00:00.000,Óleos Vegetais e Gorduras Animais,<5,mg/L,Conforme
39,276603,2023,Inconclusivo,2023-02-23 15:00:00.000,Óleos Minerais,n.d,mg/L,Inconclusivo
40,276605,2023,Não Conforme,2023-02-23 12:00:00.000,DBO,25,mg/L,Conforme
41,276605,2023,Não Conforme,2023-02-23 12:00:00.000,DQO,94,mg/L,
42,276605,2023,Não Conforme,2023-02-23 12:00:00.000,Sólidos Suspensos Totais,"23,0",mg/L,Conforme
43,276605,2023,Não Conforme,2023-02-23 12:00:00.000,Surfactantes,4.45,mg/L,Não Conforme
44,276605,2023,Não Conforme,2023-02-23 12:00:00.000,Sólidos Sedimentáveis,"<0,1",mL/L,Conforme
45,276605,2023,Não Conforme,2023-02-23 12:00:00.000,Fósforo Total,3.07,mg/L,
46,276605,2023,Não Conforme,2023-02-23 12:00:00.000,pH,6.65,N.A,Conforme
47,276605,2023,Não Conforme,2023-02-23 12:00:00.000,Nitrogênio Amoniacal,28.5,mg/L,Não Conforme
48,276605,2023,Não Conforme,2023-02-23 12:00:00.000,Óleos e Graxas Total,<5,mg/L,Conforme
49,276605,2023,Não Conforme,2023-02-23 12:00:00.000,Óleos Vegetais e Gorduras Animais,<5,mg/L,Conforme
50,276605,2023,Não Conforme,2023-02-23 12:00:00.000,Óleos Minerais,n.d,mg/L,Inconclusivo
51,276611,2023,Inconclusivo,2023-02-14 12:00:00.000,DQO,48,mg/L,
52,276611,2023,Inconclusivo,2023-02-14 12:00:00.000,DBO,14.1,mg/L,Conforme
53,276611,2023,Inconclusivo,2023-02-14 12:00:00.000,Sólidos Suspensos Totais,"14,0",mg/L,Conforme
54,276611,2023,Inconclusivo,2023-02-14 12:00:00.000,Surfactantes,1.02,mg/L,Conforme
55,276611,2023,Inconclusivo,2023-02-14 12:00:00.000,Sólidos Sedimentáveis,0.3,mL/L,Conforme
56,276611,2023,Inconclusivo,2023-02-14 12:00:00.000,pH,7.2,N.A,Conforme
57,276611,2023,Inconclusivo,2023-02-14 12:00:00.000,Nitrogênio Amoniacal,10.1,mg/L,Conforme
58,276611,2023,Inconclusivo,2023-02-14 12:00:00.000,Óleos e Graxas Total,<5,mg/L,Conforme
59,276611,2023,Inconclusivo,2023-02-14 12:00:00.000,Óleos Vegetais e Gorduras Animais,<5,mg/L,Conforme
60,276611,2023,Inconclusivo,2023-02-14 12:00:00.000,Óleos Minerais,n.d,mg/L,Inconclusivo
61,276611,2023,Inconclusivo,2023-02-14 12:00:00.000,Fósforo Total,1.46,mg/L,
62,276613,2023,Inconclusivo,2023-02-23 14:00:00.000,DBO,4,mg/L,Conforme
63,276613,2023,Inconclusivo,2023-02-23 14:00:00.000,DQO,25,mg/L,
64,276613,2023,Inconclusivo,2023-02-23 14:00:00.000,Sólidos Suspensos Totais,"< 10,0",mg/L,Conforme
65,276613,2023,Inconclusivo,2023-02-23 14:00:00.000,Surfactantes,1.23,mg/L,Conforme
66,276613,2023,Inconclusivo,2023-02-23 14:00:00.000,Sólidos Sedimentáveis,"<0,1",mL/L,Conforme
67,276613,2023,Inconclusivo,2023-02-23 14:00:00.000,Fósforo Total,2.03,mg/L,
68,276613,2023,Inconclusivo,2023-02-23 14:00:00.000,pH,6.94,N.A,Conforme
69,276613,2023,Inconclusivo,2023-02-23 14:00:00.000,Nitrogênio Amoniacal,10.2,mg/L,Conforme
70,276613,2023,Inconclusivo,2023-02-23 14:00:00.000,Óleos e Graxas Total,<5,mg/L,Conforme
71,276613,2023,Inconclusivo,2023-02-23 14:00:00.000,Óleos Vegetais e Gorduras Animais,<5,mg/L,Conforme
72,276613,2023,Inconclusivo,2023-02-23 14:00:00.000,Óleos Minerais,n.d,mg/L,Inconclusivo
73,276621,2023,Não Conforme,2023-02-14 12:00:00.000,DBO,8.8,mg/L,Conforme
74,276621,2023,Não Conforme,2023-02-14 12:00:00.000,DQO,50,mg/L,
75,276621,2023,Não Conforme,2023-02-14 12:00:00.000,Sólidos Suspensos Totais,"22,0",mg/L,Conforme
76,276621,2023,Não Conforme,2023-02-14 12:00:00.000,Sólidos Sedimentáveis,1.4,mL/L,Não Conforme
77,276621,2023,Não Conforme,2023-02-14 12:00:00.000,Surfactantes,0.74,mg/L,Conforme
78,276621,2023,Não Conforme,2023-02-14 12:00:00.000,pH,7.2,N.A,Conforme
79,276621,2023,Não Conforme,2023-02-14 12:00:00.000,Alcalinidade Total,156,mg/L,
80,276621,2023,Não Conforme,2023-02-14 12:00:00.000,Nitrogênio Amoniacal,16.8,mg/L,Conforme
81,276621,2023,Não Conforme,2023-02-14 12:00:00.000,Óleos e Graxas Total,<5,mg/L,Conforme
82,276621,2023,Não Conforme,2023-02-14 12:00:00.000,Óleos Vegetais e Gorduras Animais,<5,mg/L,Conforme
83,276621,2023,Não Conforme,2023-02-14 12:00:00.000,Óleos Minerais,n.d,mg/L,Inconclusivo
84,276621,2023,Não Conforme,2023-02-14 12:00:00.000,Fósforo Total,1.89,mg/L,
85,276623,2023,Não Conforme,2023-02-23 12:00:00.000,pH,7.4,,Conforme
86,276623,2023,Não Conforme,2023-02-23 12:00:00.000,DBO,6,mg/L,Conforme
87,276623,2023,Não Conforme,2023-02-23 12:00:00.000,Sólidos Suspensos Totais,"16,0",mg/L,Conforme
88,276623,2023,Não Conforme,2023-02-23 12:00:00.000,DQO,39,mg/L,
89,276623,2023,Não Conforme,2023-02-23 12:00:00.000,Surfactantes,0.61,mg/L,Conforme
90,276623,2023,Não Conforme,2023-02-23 12:00:00.000,Sólidos Sedimentáveis,0.2,mL/L,Conforme
91,276623,2023,Não Conforme,2023-02-23 12:00:00.000,Fósforo Total,1.99,mg/L,
92,276623,2023,Não Conforme,2023-02-23 12:00:00.000,Nitrogênio Amoniacal,21.2,mg/L,Não Conforme
93,276623,2023,Não Conforme,2023-02-23 12:00:00.000,Óleos e Graxas Total,<5,mg/L,Conforme
94,276623,2023,Não Conforme,2023-02-23 12:00:00.000,Óleos Vegetais e Gorduras Animais,<5,mg/L,Conforme
95,276623,2023,Não Conforme,2023-02-23 12:00:00.000,Óleos Minerais,n.d,mg/L,Inconclusivo
96,277612,2023,,2023-02-28 14:00:00.000,DBO,155,mg/L,
97,277612,2023,,2023-02-28 14:00:00.000,Sólidos Suspensos Totais,"94,4",mg/L,
98,277612,2023,,2023-02-28 14:00:00.000,DQO,272,mg/L,
99,277612,2023,,2023-02-28 14:00:00.000,Nitrogênio Amoniacal,30.8,mg/L,
100,277612,2023,,2023-02-28 14:00:00.000,Fósforo Total,3.75,mg/L,
101,277614,2023,Não Conforme,2023-02-28 14:00:00.000,DQO,42,mg/L,
